key,english,thai
NOTE_002_DESC,"Pain has an element of blank;
It cannot recollect
When it began, or if there were
A day when it was not.

It has no future but itself,
Its infinite realms contain
Its past, enlightened to perceive
New periods of pain.","ความเจ็บปวดมีช่องว่างบางอย่าง;
มันไม่อาจจดจำได้
ว่ามันเริ่มเมื่อใด หรือเคยมี
วันที่มันไม่อยู่หรือไม่

มันไม่มีอนาคตนอกจากตัวมันเอง
อาณาเขตอันไร้ที่สิ้นสุดของมัน
บรรจุอดีตเอาไว้ ให้รับรู้
ช่วงเวลาใหม่ของความเจ็บปวด"

NOTE_003_DESC,"Notice:
- Please refrain from running in hallway.
- No smoking within the facility.

Allowed Visit Time:
8.00 AM - 17.00 PM

Thank you for your cooperation","ประกาศ:
- กรุณางดวิ่งในโถงทางเดิน
- ห้ามสูบบุหรี่ภายในสถานที่

เวลาเยี่ยม:
8.00 - 17.00 น.

ขอบคุณสำหรับความร่วมมือ"

NOTE_DEADEND_DESC,"[color=red]DEAD END[/color]","[color=red]ทางตัน[/color]"

NOTE_004_DESC,"[b]Patient's Record #2[/b]
Date: 01/08/[color=red]2023[/color]

Patient's Name: Joe Tanasin
Gender: Male
Age: 55
Blood Type: O

Description:
Non-responsive to final round of chemotherapy. Patient is bed-bound and requires 24/7 morphine drip for pain regulation. Expected prognosis: Weeks/Days

Assigned to Bed #1431","[b]บันทึกผู้ป่วย #2[/b]
วันที่: 01/08/[color=red]2023[/color]

ชื่อผู้ป่วย: Joe Tanasin
เพศ: ชาย
อายุ: 55
กรุ๊ปเลือด: O

รายละเอียด:
ไม่ตอบสนองต่อการทำเคมีบำบัดรอบสุดท้าย ผู้ป่วยนอนติดเตียงและต้องใช้มอร์ฟีนตลอด 24 ชั่วโมงเพื่อควบคุมความเจ็บปวด คาดการณ์อาการ: สัปดาห์/วัน

เตียงหมายเลข #1431"

NOTE_005_DESC,"I think I found [b]him.[/b]

A perfect vessel.

Someone without any attachment.

Lucky.

I shall proceed with the plan and get him here.

It won't be long now, father.

You'll be able to live a normal live once again.","ฉันคิดว่าฉันเจอ [b]เขาแล้ว[/b]

ภาชนะที่สมบูรณ์แบบ

คนที่ไม่มีพันธะใด ๆ

โชคดีจริง ๆ

ฉันจะดำเนินแผนต่อและพาเขามาที่นี่

อีกไม่นานแล้ว พ่อ

พ่อจะสามารถกลับมาใช้ชีวิตปกติได้อีกครั้ง"

NOTE_006_DESC,"[color=red]The heavy seal is broken; the silence of eight winters has ended.[/color]

[color=red]A lonely chair stands steady, though its owner is gone.[/color]

[color=red]The interval of agony: from the first breath of the end to the crash of the present.[/color]

[color=red]The singular path remains before the darkness is absolute.[/color]","[color=red]ผนึกอันหนักหน่วงถูกทำลาย ความเงียบงันแปดปีสิ้นสุดลง[/color]

[color=red]เก้าอี้ตัวเดียวยังคงตั้งมั่น แม้เจ้าของจะจากไป[/color]

[color=red]ช่วงเวลาแห่งความทรมาน: จากลมหายใจแรกของจุดจบ สู่การปะทะของปัจจุบัน[/color]

[color=red]เส้นทางเดียวที่เหลืออยู่ ก่อนความมืดจะกลืนทุกสิ่ง[/color]"

NOTE_007_DESC,"I don't really get why they changed the policy to make lost and found box into lost and found safe.

They all forgot to tell me the password too. I am the one who do everything around here. Unacceptable.","ฉันไม่เข้าใจเลยว่าทำไมพวกเขาถึงเปลี่ยนนโยบาย จากกล่องของหายเป็นตู้เซฟของหาย

พวกเขายังลืมบอกรหัสฉันอีก ฉันเป็นคนที่ทำงานทุกอย่างที่นี่แท้ ๆ รับไม่ได้จริง ๆ"

NOTE_009_DESC,"[b]Recent changes about Lost and Found[/b]

Due to recent feedback regarding the security of items within our Lost and Found, we are implementing a new protocol to ensure the safety of recovered property. Effective immediately, all high-value or sensitive items will be secured in a dedicated onsite safe rather than being kept in open storage.

[b]Security Access[/b]
To access the safe, authorized personnel must enter a 4-digit security code. If you have forgotten the combination, please solve the following riddle:

[b]The Code of Four[/b]

[i][color=red]I am the number of legs on a lonely chair,
Add the wheels on a unicycle found at the fair.
Next, find the sides of a triangle's face,
And end with the legs of a spider’s embrace.[/color][/i]","[b]การเปลี่ยนแปลงล่าสุดเกี่ยวกับของหาย[/b]

จากความคิดเห็นล่าสุดเกี่ยวกับความปลอดภัยของสิ่งของในระบบของหาย เราจึงได้ปรับใช้นโยบายใหม่เพื่อเพิ่มความปลอดภัยของทรัพย์สินที่พบ โดยมีผลทันที สิ่งของที่มีมูลค่าสูงหรือมีความสำคัญจะถูกเก็บไว้ในตู้เซฟเฉพาะ แทนการเก็บในที่เปิด

[b]การเข้าถึง[/b]
ในการเปิดตู้เซฟ เจ้าหน้าที่ที่ได้รับอนุญาตต้องใส่รหัส 4 หลัก หากคุณลืมรหัส กรุณาแก้ปริศนาต่อไปนี้:

[b]รหัสแห่งสี่[/b]

[i][color=red]ฉันคือจำนวนขาของเก้าอี้เดียวดาย,
บวกกับล้อของจักรยานล้อเดียวในงานรื่นเริง
จากนั้นหาจำนวนด้านของรูปสามเหลี่ยม
และปิดท้ายด้วยจำนวนขาของแมงมุม[/color][/i]"

NOTE_010_DESC,"Weekly Complains:
- Someone forget to clean up after themselves after taking a dump in the toilet plus that toilet is broken right now

- Janitor lost his key to the equipment room

-When will there be free WiFi

- WHAT DO YOU MEAN I HAVE TO SOLVE RIDDLES FOR PASSWORD!","ข้อร้องเรียนประจำสัปดาห์:
- มีคนไม่ยอมทำความสะอาดหลังใช้ห้องน้ำ แถมห้องน้ำก็พังอยู่ตอนนี้

- ภารโรงทำกุญแจห้องอุปกรณ์หาย

- เมื่อไหร่จะมี WiFi ฟรี

- อะไรนะ ต้องแก้ปริศนาเพื่อเอารหัสเนี่ยนะ!"

NOTE_008_DESC,"""Don't worry Mr. Joe, I will not left you alone like the others.""

""You have taught me many things.""

""I will find a way to help you no matter what.""

""Even if I have to do  [b]that ritual...[/b]""","""ไม่ต้องห่วงนะคุณ Joe ฉันจะไม่ทิ้งคุณเหมือนคนอื่น""

""คุณสอนฉันหลายอย่างมาก""

""ฉันจะหาวิธีช่วยคุณให้ได้ ไม่ว่าจะยังไง""

""แม้ว่าฉันจะต้องทำ [b]พิธีนั้น...[/b]"""

NOTE_012_DESC,"""Don't worry Mr. Joe, I will not left you alone like the others.""

""You have taught me many things.""

""I will find a way to help you no matter what.""

""Even if I have to do  [b]that ritual...[/b]""","""ไม่ต้องห่วงนะคุณ Joe ฉันจะไม่ทิ้งคุณเหมือนคนอื่น""

""คุณสอนฉันหลายอย่างมาก""

""ฉันจะหาวิธีช่วยคุณให้ได้ ไม่ว่าจะยังไง""

""แม้ว่าฉันจะต้องทำ [b]พิธีนั้น...[/b]"""
